feature,n_vamp,lag_frames,score
distances,2,100,2.5448733201758986
dihedrals,2,100,2.739388776600179
aggregated_traj,2,100,2.7916979001521267
distances,2,1000,1.8936499902386448
dihedrals,2,1000,2.0842336174379015
aggregated_traj,2,1000,2.105522851697652
distances,4,100,3.2964759910332204
dihedrals,4,100,4.114866086168435
aggregated_traj,4,100,4.206314193697616
distances,4,1000,1.9798048026537132
dihedrals,4,1000,2.3159120087889615
aggregated_traj,4,1000,2.477352900680785
distances,6,100,3.8912727236758626
dihedrals,6,100,5.203866317467804
aggregated_traj,6,100,5.348597091487359
distances,6,1000,2.0447348258242046
dihedrals,6,1000,2.5706758308037854
aggregated_traj,6,1000,2.717518033733254
distances,8,100,4.363704124991149
dihedrals,8,100,6.05156715348384
aggregated_traj,8,100,6.303111743272175
distances,8,1000,2.1253199669010288
dihedrals,8,1000,2.647899880725348
aggregated_traj,8,1000,2.9208617040078915
distances,10,100,4.689393594448321
dihedrals,10,100,6.790175402384551
aggregated_traj,10,100,7.1479539681633355
distances,10,1000,2.1333507721408944
dihedrals,10,1000,2.7564260472016593
aggregated_traj,10,1000,2.9289205402689698
