n_vamp,lag_frames,score,std
2,100,2.7457453315879157,0.006161502177146183
2,500,2.389103824622031,0.020401980210731183
2,1000,2.076588818692229,0.02696936238617438
3,100,3.475969369312999,0.008797880068749464
3,500,2.732816495844724,0.03546142459654398
3,1000,2.230854034440942,0.03097245010595639
4,100,4.114307650131684,0.007468731319278398
4,500,3.077582486525967,0.03774663831688742
4,1000,2.268383019182333,0.0486512661517459
5,100,4.6941996760294415,0.036252402754874395
5,500,3.2798985265520253,0.020212944523578046
5,1000,2.503948850686832,0.040147474413182394
6,100,5.166382048073752,0.012002915084174533
6,500,3.3167763557581096,0.07689378997220984
6,1000,2.593263003971319,0.035451825263605116
7,100,5.680917730960955,0.015441921204538512
7,500,3.5323813782232363,0.061335973292991806
7,1000,2.5843596115238006,0.054942488456173555
8,100,6.058119803340302,0.0290763077344803
8,500,3.615097000302621,0.11840058197371084
8,1000,2.6845873720748674,0.038214862292397137
9,100,6.463340536228417,0.024490583221722054
9,500,3.63800630034443,0.06414946015278059
9,1000,2.7042263836463003,0.04034337164355235
10,100,6.777276667632019,0.022407102199909847
10,500,3.766483519465593,0.03890004983556359
10,1000,2.7393620058155728,0.086851245662808
